The Shawshank Redemption, Drama
The Godfather, Crime
The Godfather: Part II, Crime
The Dark Knight, Action
12 Angry Men, Drama
Schindler's List, Drama
Pulp Fiction, Crime
The Lord of the Rings: The Return of the King, Action
Fight Club, Drama
The Lord of the Rings: The Fellowship of the Ring, Action
Star Wars: Episode V - The Empire Strikes Back, Sci-Fi
Forrest Gump, Drama
Inception, Action
One Flew Over the Cuckoo's Nest, Drama
The Matrix, Action
Seven Samurai, Action
It's a Wonderful Life, Family
Life Is Beautiful, Comedy
Interstellar, Adventure
Saving Private Ryan, War
American History X, Action
Casablanca, Romance
Happiest Season, Comedy
The Office, Comedy
Home Alone, Comedy
Friends, Comedy
Supernatural, Horror
Run, Horror
Holidate, Romance
The Blacklist, Crime
